Train data type,Eval set,Cased,Base model,Num epochs,Max seq length,ACCURACY,F1,,,
vanilla_new,dev,uncased,bert-base-uncased,3,500,0.68,0.67,,,
vanilla_new,test,uncased,^,-,500,0.74,0.7,**,,
vanilla_new,dev,uncased,LM-finetuned-all-cc-uncased,3,500,,,,,
vanilla_new,test,uncased,^,na,500,,,,,
vanilla_new,dev,uncased,LM-finetuned-all-cc-cased,3,500,,,,,
vanilla_new,test,uncased,^,na,500,,,,,
vanilla_new,dev,uncased,LM-finetuned-both-cc-uncased,3,500,,,,,
vanilla_new,test,uncased,^,na,500,,,,,
vanilla_new,dev,uncased,MNLI-finetuned,3,500,0.65,0.64,,,
vanilla_new,test,uncased,^,na,500,0.64,0.57,,,
vanilla_new,dev,uncased,SNLI-finetuned,3,500,,,,,
vanilla_new,test,uncased,^,na,500,,,,,
vanilla,semeval my dev,uncased,trained vanilla uncased,na,500,,,LM-finetuned then trained on vanilla Mturk ,,
vanilla,semeval my test,uncased,trained vanilla uncased,na,500,,,ACCURACY,F1,
vanilla,semeval true test,uncased,trained vanilla uncased,na,500,,,0.36,0.34,worse than Mohammad's best performing classifier (F1 0.43)
vanilla_new,dev,cased,bert-base-uncased,3,500,,,,,
vanilla_new,test,cased,^,-,500,,,,,
vanilla_new,dev,cased,LM-finetuned-all-cc-uncased,3,500,,,,,
vanilla_new,test,cased,^,na,500,,,,,
vanilla_new,dev,cased,LM-finetuned-all-cc-cased,3,500,,,,,
vanilla_new,test,cased,^,na,500,,,,,
vanilla_new,dev,cased,LM-finetuned-both-cc-uncased,3,500,,,,,
vanilla_new,test,cased,^,na,500,,,,,
vanilla_downsampled,dev,uncased,bert-base-uncased,3,500,0.69,0.68,,,
vanilla_downsampled,test,uncased,^,-,500,0.63,0.59,,,
vanilla_downsampled,dev,uncased,LM-finetuned-all-cc-uncased,3,500,,,,,
vanilla_downsampled,test,uncased,^,-,500,,,,,
vanilla_downsampled,dev,uncased,LM-finetuned-all-cc-cased,3,500,/,/,,,
vanilla_downsampled,test,uncased,^,-,500,/,/,,,
vanilla_downsampled,dev,uncased,MNLI-finetuned,3,500,0.61,0.61,,,
vanilla_downsampled,test,uncased,^,na,500,0.57,0.53,,,
vanilla_downsampled,dev,uncased,SNLI-finetuned,3,500,,,,,
vanilla_downsampled,test,uncased,^,na,500,,,,,
vanilla_downsampled,dev,cased,bert-base-uncased,3,500,,,,,
vanilla_downsampled,test,cased,^,-,500,,,,,
vanilla_downsampled,dev,cased,LM-finetuned-all-cc-uncased,3,500,,,,,
vanilla_downsampled,test,cased,^,-,500,,,,,
vanilla_downsampled,dev,cased,LM-finetuned-all-cc-cased,3,500,/,/,,,
vanilla_downsampled,test,cased,^,-,500,/,/,,,
backtrans_fr,dev,uncased,bert-base-uncased,3,500,0.71,0.71,*,,
backtrans_fr,test,uncased,^,-,500,0.73,0.69,*,,
backtrans_fr,dev,uncased,LM-finetuned-all-cc-uncased,3,500,,,,,
backtrans_fr,test,uncased,^,-,500,,,,,
backtrans_fr,dev,uncased,LM-finetuned-all-cc-cased,3,500,/,/,,,
backtrans_fr,test,uncased,^,-,500,/,/,,,
backtrans_fr,dev,uncased,MNLI-finetuned,3,500,0.67,0.66,,,
backtrans_fr,test,uncased,^,-,500,0.64,0.6,,,
backtrans_fr,dev,uncased,SNLI-finetuned,3,500,,,,,
backtrans_fr,test,uncased,^,na,500,,,,,
backtrans,dev,cased,bert-base-uncased,3,500,,,,,
backtrans,test,cased,^,-,500,,,,,
backtrans,dev,cased,LM-finetuned-all-cc-uncased,3,500,,,,,
backtrans,test,cased,^,-,500,,,,,
backtrans,dev,cased,LM-finetuned-all-cc-cased,3,500,/,/,,,
backtrans,test,cased,^,-,500,/,/,,,
backtrans_fr_downsampled,dev,uncased,bert-base-uncased,3,500,0.64,0.64,,,
backtrans_fr_downsampled,test,uncased,^,-,500,0.69,0.63,,,
backtrans_fr_downsampled,dev,uncased,LM-finetuned-both-cc-uncased,3,500,,,,,
backtrans_fr_downsampled,test,uncased,^,-,500,,,,,
backtrans_fr_downsampled,dev,uncased,MNLI-finetuned,3,500,0.66,0.67,,,
backtrans_fr_downsampled,test,uncased,^,-,500,0.62,0.57,,,
backtrans_fr_downsampled,dev,uncased,SNLI-finetuned,3,500,,,,,
backtrans_fr_downsampled,test,uncased,^,na,500,,,,,
backtrans_fr_downsampled,dev,cased,bert-base-uncased,3,500,,,,,
backtrans_fr_downsampled,test,cased,^,-,500,,,,,
flat,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.77,0.74,,,
flat,test,uncased,^,-,500,0.69,0.69,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
vanilla ~r5_b0,r5_b0,uncased,bert-base-uncased,3,128,0.7,0.7,,,
vanilla ~r5_b1,r5_b1,uncased,bert-base-uncased,3,128,0.66,0.6,,,
vanilla ~r5_b2,r5_b2,uncased,bert-base-uncased,3,128,0.7,0.66,,,
vanilla ~r5_b3,r5_b3,uncased,bert-base-uncased,3,128,0.74,0.72,,,
vanilla ~r5_b4,r5_b4,uncased,bert-base-uncased,3,128,,,,,
vanilla ~r5_b5,r5_b5,uncased,bert-base-uncased,3,128,0.76,0.76,,,
vanilla ~r5_b6,r5_b6,uncased,bert-base-uncased,3,128,0.56,0.5,,,
vanilla ~r5_b7,r5_b7,uncased,bert-base-uncased,3,128,0.72,0.73,,,
